scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,0.0,2.3388888888889046,9.428214731585534,-3.2535211267605635,14.0,-4.0
1.0,13.88888888888889,10.0,1.0,0.0,2.5388888888889047,9.437203495630474,-3.242857142857143,14.0,-4.0
1.0,13.88888888888889,20.0,1.0,0.0,3.5888888888889054,9.654406130268217,-3.21875,8.0,-4.0
1.0,13.88888888888889,30.0,1.0,0.0,3.0888888888889054,9.419225967540592,-3.272727272727273,8.0,-4.0
1.0,13.88888888888889,40.0,0.0,0.0,0.0,8.923995271867632,-3.343283582089552,23.0,-4.0
1.0,13.88888888888889,50.0,0.0,0.0,0.0,8.396888888888904,-3.1333333333333333,15.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,10.094912985274444,-2.875,18.0,-4.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,7.370029239766091,-3.4166666666666665,79.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,7.364327485380127,-3.4166666666666665,75.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,7.429154375614567,-3.388888888888889,75.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,7.17179487179489,-3.1875,63.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,7.126600753295687,-3.2278481012658227,67.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,7.573123123123142,-3.263888888888889,77.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,7.573123123123142,-3.263888888888889,77.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,7.644343434343452,-3.191780821917808,69.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,7.84449636552442,-3.136986301369863,55.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.782407407407427,-3.2253521126760565,63.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,7.782407407407427,-3.2253521126760565,63.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.83141225337489,-3.2253521126760565,59.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,9.22350427350429,-3.838709677419355,11.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,8.849415204678378,-3.6885245901639343,23.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,8.406388888888905,-3.716666666666667,29.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,8.310671067106727,-3.7,35.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,8.132578209277256,-3.1739130434782608,51.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,8.068696581196598,-3.1594202898550723,63.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.667577413479062,-1.7,42.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,12.131642512077315,-2.6666666666666665,36.0,-4.0
