scenario_id,ego_v,hit_point,collision,eb_intervention,dv_collision,v_mean,a_mean,a_jerk,a_min
1.0,13.88888888888889,0.0,1.0,0.0,11.788888888888911,12.694949494949512,-1.8157894736842106,68.0,-4.0
1.0,13.88888888888889,10.0,1.0,0.0,11.438888888888917,12.535157545605323,-2.0526315789473686,85.0,-4.0
1.0,13.88888888888889,20.0,1.0,0.0,11.038888888888922,12.296977124183023,-2.27027027027027,85.0,-4.0
1.0,13.88888888888889,30.0,1.0,0.0,4.238888888888918,10.754914529914547,-3.1818181818181817,56.0,-4.0
1.0,13.88888888888889,40.0,1.0,0.0,10.938888888888918,12.1657004830918,-2.5,66.0,-4.0
1.0,13.88888888888889,50.0,1.0,0.0,11.038888888888915,12.227859477124186,-2.466666666666667,68.0,-4.0
1.0,13.88888888888889,800.0,0.0,0.0,0.0,12.944357638888905,-2.0,392.0,-2.0
2.0,13.88888888888889,0.0,0.0,0.0,0.0,6.763888888888907,-2.8160919540229883,121.0,-4.0
2.0,13.88888888888889,10.0,0.0,0.0,0.0,6.833197831978338,-2.781609195402299,111.0,-4.0
2.0,13.88888888888889,20.0,0.0,0.0,0.0,6.9479797979798175,-2.6292134831460676,101.0,-4.0
2.0,13.88888888888889,30.0,0.0,0.0,0.0,6.943021120293867,-2.6704545454545454,91.0,-4.0
2.0,13.88888888888889,40.0,0.0,0.0,0.0,6.943847566574859,-2.5604395604395602,77.0,-4.0
2.0,13.88888888888889,50.0,0.0,0.0,0.0,6.883151183970879,-2.7906976744186047,83.0,-4.0
3.0,13.88888888888889,0.0,0.0,0.0,0.0,6.883151183970879,-2.7906976744186047,83.0,-4.0
3.0,13.88888888888889,10.0,0.0,0.0,0.0,7.120668549905858,-2.7142857142857144,67.0,-4.0
3.0,13.88888888888889,20.0,0.0,0.0,0.0,7.480406746031767,-2.675324675324675,63.0,-4.0
3.0,13.88888888888889,30.0,0.0,0.0,0.0,7.551501501501523,-2.710526315789474,75.0,-4.0
3.0,13.88888888888889,40.0,0.0,0.0,0.0,7.689806320081571,-2.767123287671233,61.0,-4.0
3.0,13.88888888888889,50.0,0.0,0.0,0.0,7.60661616161618,-2.727272727272727,69.0,-4.0
4.0,13.88888888888889,0.0,0.0,0.0,0.0,8.309680968096831,-3.2567567567567566,61.0,-4.0
4.0,13.88888888888889,10.0,0.0,0.0,0.0,8.14034519956852,-3.2777777777777777,63.0,-4.0
4.0,13.88888888888889,20.0,0.0,0.0,0.0,8.008412698412718,-3.420289855072464,77.0,-4.0
4.0,13.88888888888889,30.0,0.0,0.0,0.0,7.903511530398342,-3.323943661971831,87.0,-4.0
4.0,13.88888888888889,40.0,0.0,0.0,0.0,7.830477673935639,-3.0533333333333332,67.0,-4.0
4.0,13.88888888888889,50.0,0.0,0.0,0.0,8.220751633986946,-3.044776119402985,65.0,-4.0
9.0,13.88888888888889,-100.0,0.0,0.0,0.0,13.359050179211486,-2.5,96.0,-4.0
9.0,13.88888888888889,200.0,0.0,0.0,0.0,11.910317460317486,-2.176470588235294,288.0,-4.0
